INS,COMMUNE,LAT,LONG,CODPOSS
24104,TERVUREN,50.81666667,4.5,3080
71057,TESSENDERLO,51.06666667,5.083333333,3980
63076,THEUX,50.53333333,5.8,4910
63089,THIMISTER-CLERMONT,50.65,5.85,4890
56078,THUIN,50.33333333,4.283333333,6530
37015,TIELT,51,3.316666667,8700
24135,TIELT-WINGE,50.93333333,4.9,3390
24107,TIENEN,50.8,4.933333333,3300
61081,TINLOT,50.46666667,5.366666667,4557
85039,TINTIGNY,49.68333333,5.5,6730
73083,TONGEREN,50.76666667,5.45,3700
31033,TORHOUT,51.05,3.1,8820
57081,TOURNAI,50.6,3.383333333,7500
24109,TREMELO,50.98333333,4.7,3120
63086,TROIS-PONTS,50.36666667,5.866666667,4980
62122,TROOZ,50.56666667,5.683333333,4870
25105,TUBIZE,50.68333333,4.2,1480
13040,TURNHOUT,51.31666667,4.933333333,2300
21016,UKKEL,50.8,4.333333333,1180
82036,VAUX-SUR-SURE,49.9,5.566666667,6640
61063,VERLAINE,50.6,5.316666667,4537
63079,VERVIERS,50.58333333,5.85,4800
38025,VEURNE,51.06666667,2.65,8630
82032,VIELSALM,50.28333333,5.9,6690
25107,VILLERS-LA-VILLE,50.56666667,4.516666667,1495
61068,VILLERS-LE-BOUILLET,50.56666667,5.25,4530
23088,VILVOORDE,50.91666667,4.416666667,1800
93090,VIROINVAL,50.06666667,4.533333333,5670
85045,VIRTON,49.56666667,5.533333333,6760
62108,VISE,50.73333333,5.683333333,4600
33041,VLETEREN,50.93333333,2.733333333,8640
73109,VOEREN,50.75,5.75,3790
13044,VORSELAAR,51.2,4.766666667,2290
21007,VORST,50.8,4.316666667,1190
13046,VOSSELAAR,51.3,4.883333333,2350
91143,VRESSE-SUR-SEMOIS,49.86666667,4.933333333,5550
44072,WAARSCHOOT,51.15,3.6,9950
42023,WAASMUNSTER,51.1,4.083333333,9250
44073,WACHTEBEKE,51.16666667,3.85,9185
63080,WAIMES,50.4,6.1,4950
93088,WALCOURT,50.25,4.416666667,5650
25124,WALHAIN,50.61666667,4.683333333,1457
61072,WANZE,50.53333333,5.2,4520
34040,WAREGEM,50.88333333,3.433333333,8790
64074,WAREMME,50.68333333,5.25,4300
64075,WASSEIGES,50.61666667,5,4219
25110,WATERLOO,50.71666667,4.383333333,1410
21017,WATERMAAL-BOSVOORDE,50.8,4.4,1170
25112,WAVRE,50.71666667,4.6,1300
63084,WELKENRAEDT,50.65,5.966666667,4840
73098,WELLEN,50.83333333,5.333333333,3830
84075,WELLIN,50.08333333,5.1,6920
23102,WEMMEL,50.9,4.3,1780
33029,WERVIK,50.76666667,3.033333333,8940
13049,WESTERLO,51.08333333,4.916666667,2260
42025,WETTEREN,51,3.883333333,9230
